State,Number of cases,Date Updated,Note,Source,
New Jersey,3,"April 25, 2025",,,
Texas,646,"April 25, 2025",,,
California,9,"April 25, 2025",,,
New Mexico,65,"April 25, 2025",,,
Kentucky,2,"April 25, 2025",,,
Georgia,3,"April 25, 2025",,,
Alaska,2,"April 25, 2025",,,
Pennsylvania,13,"April 25, 2025",,,
Florida,2,"April 25, 2025",,,
Washington,5,"April 25, 2025",,,
Colorado,4,"April 25, 2025",,,
Kansas,37,"April 25, 2025",,,
Oklahoma,10,"April 25, 2025",,,
Minnesota,2,"April 25, 2025",,,
Tennessee,6,"April 25, 2025",,,
Ohio,34,"April 25, 2025",,,
Michigan,9,"April 25, 2025",,,
Maryland,3,"April 25, 2025",,,
New York,1,"April 25, 2025",,,
Vermont,1,"April 25, 2025",,,
Indiana,8,"April 25, 2025",,,
Arkansas,3,"April 25, 2025",,,
Hawaii,2,"April 25, 2025",,,
Montana,5,"April 25, 2025",,,
Missouri,1,"April 25, 2025",,,
Illinois,1,"April 25, 2025",,,
Louisiana,2,"April 25, 2025",,,
Virginia,1,"April 25, 2025",,,
Rhode Island,1,"May 2, 2025",,"https://www.nbcnews.com/data-graphics/track-measles-outbreak-cases-us-map-rcna198932",
New Jersey,3,"May 2, 2025",,,
Texas,697,"May 2, 2025",,,
California,10,"May 2, 2025",,,
New Mexico,67,"May 2, 2025",,,
Kentucky,2,"May 2, 2025",,,
Georgia,3,"May 2, 2025",,,
Alaska,2,"May 2, 2025",,,
Pennsylvania,13,"May 2, 2025",,,
Florida,1,"May 2, 2025","NOTE: This count has dropped by one since the previous week",,
Washington,5,"May 2, 2025",,,
Colorado,5,"May 2, 2025",,,
Kansas,46,"May 2, 2025",,,
Oklahoma,13,"May 2, 2025",,,
Minnesota,2,"May 2, 2025",,,
Tennessee,6,"May 2, 2025",,,
Ohio,33,"May 2, 2025","NOTE: This count has dropped by one since the previous week",,
Michigan,9,"May 2, 2025",,,
Maryland,3,"May 2, 2025",,,
New York,4,"May 2, 2025",,,
Vermont,1,"May 2, 2025",,,
Indiana,8,"May 2, 2025",,,
Arkansas,4,"May 2, 2025",,,
Hawaii,2,"May 2, 2025",,,
Montana,7,"May 2, 2025",,,
Missouri,1,"May 2, 2025",,,
Illinois,4,"May 2, 2025",,,
Louisiana,2,"May 2, 2025",,,
Virginia,1,"May 2, 2025",,,
District of Columbia,0,"May 2, 2025","NOTE 6/18: CDC has reported 0 cases in DC throughought, removing case here going forward",,
Rhode Island,1,"May 8, 2025",,"https://www.nbcnews.com/data-graphics/track-measles-outbreak-cases-us-map-rcna198932",
New Jersey,3,"May 8, 2025",,,
Texas,718,"May 8, 2025",,,
California,11,"May 8, 2025",,,
New Mexico,67,"May 8, 2025",,,
Kentucky,2,"May 8, 2025",,,
Georgia,3,"May 8, 2025",,,
Alaska,2,"May 8, 2025",,,
Pennsylvania,13,"May 8, 2025",,,
Florida,1,"May 8, 2025",,,
Washington,5,"May 8, 2025",,,
Colorado,5,"May 8, 2025",,,
Kansas,49,"May 8, 2025",,,
Oklahoma,14,"May 8, 2025",,,
Minnesota,2,"May 8, 2025",,,
Tennessee,6,"May 8, 2025",,,
Ohio,33,"May 8, 2025",,,
Michigan,9,"May 8, 2025",,,
Maryland,3,"May 8, 2025",,,
New York,7,"May 8, 2025",,,
Vermont,1,"May 8, 2025",,,
Indiana,8,"May 8, 2025",,,
Arkansas,6,"May 8, 2025",,,
Hawaii,2,"May 8, 2025",,,
Montana,8,"May 8, 2025",,,
Missouri,2,"May 8, 2025",,,
Illinois,6,"May 8, 2025",,,
Louisiana,2,"May 8, 2025",,,
Virginia,1,"May 8, 2025",,,
District of Columbia,0,"May 8, 2025","NOTE 6/18: CDC has reported 0 cases in DC throughought, removing case here going forward",,
North Dakota,9,"May 8, 2025",,,
Rhode Island,1,"May 16, 2025",,"https://www.nbcnews.com/data-graphics/track-measles-outbreak-cases-us-map-rcna198932",
New Jersey,3,"May 16, 2025",,,
Texas,733,"May 16, 2025",,,
California,11,"May 16, 2025",,,
New Mexico,74,"May 16, 2025",,,
Kentucky,2,"May 16, 2025",,,
Georgia,3,"May 16, 2025",,,
Alaska,2,"May 16, 2025",,,
Pennsylvania,13,"May 16, 2025",,,
Florida,1,"May 16, 2025",,,
Washington,6,"May 16, 2025",,,
Colorado,5,"May 16, 2025",,,
Kansas,56,"May 16, 2025",,,
Oklahoma,14,"May 16, 2025",,,
Minnesota,2,"May 16, 2025",,,
Tennessee,6,"May 16, 2025",,,
Ohio,34,"May 16, 2025",,,
Michigan,8,"May 16, 2025","NOTE: This count has dropped by one since the previous week",,
Maryland,3,"May 16, 2025",,,
New York,11,"May 16, 2025",,,
Vermont,1,"May 16, 2025",,,
Indiana,8,"May 16, 2025",,,
Arkansas,6,"May 16, 2025",,,
Hawaii,2,"May 16, 2025",,,
Montana,8,"May 16, 2025",,,
Missouri,2,"May 16, 2025",,,
Illinois,8,"May 16, 2025",,,
Louisiana,2,"May 16, 2025",,,
Virginia,1,"May 16, 2025",,,
District of Columbia,0,"May 16,2025","NOTE 6/18: CDC has reported 0 cases in DC throughought, removing case here going forward",,
North Dakota,12,"May 16, 2025",,,
Rhode Island,1,"May 23, 2025",,"https://www.nbcnews.com/data-graphics/track-measles-outbreak-cases-us-map-rcna198932",
New Jersey,3,"May 23, 2025",,,
Texas,750,"May 23, 2025",,,
California,11,"May 23, 2025",,,
New Mexico,78,"May 23, 2025",,,
Kentucky,2,"May 23, 2025",,,
Georgia,4,"May 23, 2025",,,
Alaska,3,"May 23, 2025",,,
Pennsylvania,13,"May 23, 2025",,,
Florida,2,"May 23, 2025",,,
Washington,6,"May 23, 2025",,,
Colorado,5,"May 23, 2025",,,
Kansas,58,"May 23, 2025",,,
Oklahoma,14,"May 23, 2025",,,
Minnesota,2,"May 23, 2025",,,
Tennessee,6,"May 23, 2025",,,
Ohio,34,"May 23, 2025",,,
Michigan,8,"May 23, 2025",,,
Maryland,3,"May 23, 2025",,,
New York,12,"May 23, 2025",,,
Vermont,1,"May 23, 2025",,,
Indiana,8,"May 23, 2025",,,
Arkansas,6,"May 23, 2025",,,
Hawaii,2,"May 23, 2025",,,
Montana,10,"May 23, 2025",,,
Missouri,2,"May 23, 2025",,,
Illinois,10,"May 23, 2025",,,
Louisiana,2,"May 23, 2025",,,
Virginia,1,"May 23, 2025",,,
District of Columbia,0,"May 23, 2025","NOTE 6/18: CDC has reported 0 cases in DC throughought, removing case here going forward",,
North Dakota,21,"May 23, 2025",,,
Iowa,1,"May 23, 2025",,,
Rhode Island,1,"May 30, 2025",,"https://www.nbcnews.com/data-graphics/track-measles-outbreak-cases-us-map-rcna198932",
New Jersey,3,"May 30, 2025",,,
Texas,770,"May 30, 2025",,,
California,12,"May 30, 2025",,,
New Mexico,79,"May 30, 2025",,,
Kentucky,2,"May 30, 2025",,,
Georgia,4,"May 30, 2025",,,
Alaska,3,"May 30, 2025",,,
Pennsylvania,13,"May 30, 2025",,,
Florida,2,"May 30, 2025",,,
Washington,6,"May 30, 2025",,,
Colorado,7,"May 30, 2025",,,
Kansas,64,"May 30, 2025",,,
Oklahoma,14,"May 30, 2025",,,
Minnesota,2,"May 30, 2025",,,
Tennessee,6,"May 30, 2025",,,
Ohio,34,"May 30, 2025",,,
Michigan,9,"May 30, 2025",,,
Maryland,3,"May 30, 2025",,,
New York,12,"May 30, 2025",,,
Vermont,1,"May 30, 2025",,,
Indiana,8,"May 30, 2025",,,
Arkansas,7,"May 30, 2025",,,
Hawaii,2,"May 30, 2025",,,
Montana,13,"May 30, 2025",,,
Missouri,2,"May 30, 2025",,,
Illinois,10,"May 30, 2025",,,
Louisiana,2,"May 30, 2025",,,
Virginia,2,"May 30, 2025",,,
District of Columbia,0,"May 30, 2025","NOTE 6/18: CDC has reported 0 cases in DC throughought, removing case here going forward",,
North Dakota,29,"May 30, 2025",,,
Iowa,1,"May 30, 2025",,,
Nebraska,1,"May 30, 2025",,,
Rhode Island,1,"June 6, 2025",,"https://www.nbcnews.com/data-graphics/track-measles-outbreak-cases-us-map-rcna198932",
New Jersey,3,"June 6, 2025",,,
Texas,775,"June 6, 2025",,,
California,13,"June 6, 2025",,,
New Mexico,81,"June 6, 2025",,,
Kentucky,2,"June 6, 2025",,,
Georgia,4,"June 6, 2025",,,
Alaska,3,"June 6, 2025",,,
Pennsylvania,13,"June 6, 2025",,,
Florida,2,"June 6, 2025",,,
Washington,6,"June 6, 2025",,,
Colorado,12,"June 6, 2025",,,
Kansas,71,"June 6, 2025",,,
Oklahoma,15,"June 6, 2025",,,
Minnesota,4,"June 6, 2025",,,
Tennessee,6,"June 6, 2025",,,
Ohio,34,"June 6, 2025",,,
Michigan,10,"June 6, 2025",,,
Maryland,3,"June 6, 2025",,,
New York,12,"June 6, 2025",,,
Vermont,1,"June 6, 2025",,,
Indiana,8,"June 6, 2025",,,
Arkansas,7,"June 6, 2025",,,
Hawaii,2,"June 6, 2025",,,
Montana,17,"June 6, 2025",,,
Missouri,2,"June 6, 2025",,,
Illinois,10,"June 6, 2025",,,
Louisiana,2,"June 6, 2025",,,
Virginia,3,"June 6, 2025",,,
District of Columbia,0,"June 6, 2025","NOTE 6/18: CDC has reported 0 cases in DC throughought, removing case here going forward",,
North Dakota,34,"June 6, 2025",,,
Iowa,1,"June 6, 2025",,,
Nebraska,1,"June 6, 2025",,,
Rhode Island,1,"June 13, 2025",,"CDC, State Health Departments, and News searches",
New Jersey,3,"June 13, 2025",,https://www.nj.gov/health/measles/,
Texas,777,"June 13, 2025",,https://archive.is/JPmZS,
California,13,"June 13, 2025",,https://fox40.com/news/local-news/sacramento-county/sacramento-county-public-health-confirms-14th-case-of-measles-in-california/?fbclid=IwY2xjawK_aTNleHRuA2FlbQIxMQABHmhM_vgBqS53jbFC_TdKLmUbo2WtZ0Co5owDhvXJ8n0hCEb-owRf3SX1pict_aem_SUcp16kqpvGocFDODqEfIg,
New Mexico,81,"June 13, 2025",,https://archive.is/HIDq6,
Kentucky,2,"June 13, 2025","No evidence of additional cases",,
Georgia,5,"June 13, 2025","Last updated June 6",https://dph.georgia.gov/epidemiology/acute-disease-epidemiology/vaccine-preventable-diseases/measles,
Alaska,3,"June 13, 2025",,https://health.alaska.gov/en/education/measles/,
Pennsylvania,13,"June 13, 2025","No evidence of additional cases",,
Florida,3,"June 13, 2025",,https://www.miamiherald.com/news/health-care/article308732830.html,
Washington,6,"June 13, 2025",,https://web.archive.org/web/20250618101019/https://doh.wa.gov/you-and-your-family/illness-and-disease-z/measles,
Colorado,15,"June 13, 2025",,https://archive.is/yU5P0,
Kansas,76,"June 13, 2025",,https://eu.cjonline.com/story/news/healthcare/2025/06/12/southwest-kansas-measles-outbreak-grows-with-unvaccinated-children/84139108007/,
Oklahoma,19,"June 13, 2025",,https://www.news9.com/story/6846b78fd7ee99426f02faa2/oklahoma-measles-cases-increase-to-19-according-to-health-officials,
Minnesota,5,"June 13, 2025",,https://archive.ph/EEyCT,
Tennessee,6,"June 13, 2025",,https://archive.ph/FDGHo,
Ohio,34,"June 13, 2025",,https://www.news5cleveland.com/news/state/us-measles-count-nears-1-200-cases-as-ohio-officials-confirm-3-outbreaks-are-over,
Michigan,12,"June 13, 2025",,https://archive.ph/bcQbj,
Maryland,3,"June 13, 2025","No evidence of additional cases",,
New York,12,"June 13, 2025",,https://archive.is/p4Ioq,
Vermont,1,"June 13, 2025","No evidence of additional cases",,
Indiana,8,"June 13, 2025",,https://archive.is/8tW0g,
Arkansas,7,"June 13, 2025",,https://archive.ph/Eyxn4,
Hawaii,2,"June 13, 2025",,https://archive.ph/2cds0,
Montana,20,"June 13, 2025",,https://www.kbzk.com/news/local-news/12th-case-of-measles-reported-in-gallatin-county,
Missouri,3,"June 13, 2025",,https://archive.ph/yDq82,
Illinois,10,"June 13, 2025",,https://archive.is/eu4t7,
Louisiana,2,"June 13, 2025","No evidence of additional cases",,
Virginia,3,"June 13, 2025",,https://archive.is/Jjfn8,
District of Columbia,0,"June 13, 2025","NOTE 6/18: CDC has reported 0 cases in DC throughought, removing case here going forward",,
North Dakota,34,"June 13, 2025",,https://archive.ph/CkJy3,
Iowa,3,"June 13, 2025",,https://archive.ph/Rq6OC,
Nebraska,1,"June 13, 2025","No evidence of additional cases",,
